,t,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_7,omega_8,omega_9,omega_10,omega_11,omega_12
20,1573744254.3197575,-0.03791142627596855,0.05106586217880249,0.13352833688259125,-0.12051060795783997,-0.20781145989894867,0.21888339519500732,813.0936889648438,811.0543212890625,804.7354736328125,811.427001953125,807.9268188476562,813.25927734375,812.8274536132812,811.322265625,804.4691162109375,811.6865844726562,808.1533203125,813.0369873046875
21,1573744254.3289356,-0.0376930795609951,0.05075184628367424,0.13206912577152252,-0.11915183067321777,-0.2087693214416504,0.2197762131690979,813.2877197265625,811.3221435546875,805.0321044921875,811.5986328125,808.251220703125,813.52783203125,813.0233764648438,811.588134765625,804.7677612304688,811.8563842773438,808.4765014648438,813.3067626953125
22,1573744254.3383102,-0.037810519337654114,0.05092243105173111,0.13204041123390198,-0.11908023059368134,-0.20878466963768005,0.2198365330696106,813.3016967773438,811.3038940429688,805.0169677734375,811.5989379882812,808.2552490234375,813.5174560546875,813.0363159179688,811.5709838867188,804.751708984375,811.8575439453125,808.4813842773438,813.2955322265625
23,1573744254.3470006,-0.036758944392204285,0.04993489384651184,0.13197654485702515,-0.11896253377199173,-0.20878054201602936,0.2198946177959442,813.3077392578125,811.2862548828125,805.0352172851562,811.6409912109375,808.2742309570312,813.540283203125,813.0410766601562,811.5546875,804.7688598632812,811.900634765625,808.5016479492188,813.3170776367188
24,1573744254.3587348,-0.0366482175886631,0.049954142421483994,0.1318613886833191,-0.11874979734420776,-0.2088186889886856,0.2200697809457779,813.3517456054688,811.2512817382812,805.0648193359375,811.622802734375,808.3466186523438,813.4933471679688,813.0823974609375,811.5223999023438,804.7964477539062,811.8844604492188,808.5767822265625,813.267333984375
25,1573744254.3679235,-0.036485955119132996,0.04978208616375923,0.1318587213754654,-0.11877630650997162,-0.20880843698978424,0.22005410492420197,813.195556640625,811.0454711914062,804.902099609375,811.4373168945312,808.2060546875,813.2792358398438,812.9265747070312,811.3163452148438,804.6344604492188,811.6983642578125,808.43603515625,813.0533447265625
26,1573744254.3778484,-0.03618782013654709,0.049476154148578644,0.13159409165382385,-0.11853946000337601,-0.20897944271564484,0.22019270062446594,813.070556640625,810.8626708984375,804.7221069335938,811.3306884765625,808.063232421875,813.1495361328125,812.8017578125,811.1333618164062,804.4550170898438,811.591064453125,808.2925415039062,812.9243774414062
27,1573744254.387264,-0.03611795976758003,0.0493670254945755,0.13134878873825073,-0.1183176264166832,-0.20915043354034424,0.22032079100608826,812.9447631835938,810.7896118164062,804.615966796875,811.2437744140625,807.94091796875,813.0968627929688,812.6767578125,811.0595092773438,804.349365234375,811.5036010742188,808.1693115234375,812.87255859375
28,1573744254.3960032,-0.03584149107336998,0.048970285803079605,0.13078631460666656,-0.117880679666996,-0.20953160524368286,0.22056882083415985,813.1612548828125,811.0090942382812,804.821533203125,811.492919921875,808.16796875,813.3623046875,812.8956298828125,811.2765502929688,804.5574340820312,811.7503051757812,808.3937377929688,813.140625
29,1573744254.4059532,-0.03521406278014183,0.048022374510765076,0.1301407665014267,-0.11754462867975235,-0.20997728407382965,0.2207058072090149,813.5020141601562,811.4169311523438,805.2272338867188,811.8854370117188,808.5618896484375,813.7918701171875,813.2427368164062,811.677978515625,804.9693603515625,812.1367797851562,808.7814331054688,813.5762939453125
30,1573744254.4156644,-0.0349961593747139,0.04777185991406441,0.1297590583562851,-0.1172141432762146,-0.21021699905395508,0.22091056406497955,813.7249755859375,811.6038818359375,805.4392700195312,812.0963134765625,808.8067016601562,813.9969482421875,813.46630859375,811.8643188476562,805.182373046875,812.3466796875,809.0255737304688,813.7820434570312
31,1573744254.4254851,-0.03476747125387192,0.0476849265396595,0.12942257523536682,-0.11675052344799042,-0.21040305495262146,0.22122903168201447,813.8303833007812,811.6787109375,805.5249633789062,812.1995239257812,808.919921875,814.104736328125,813.56884765625,811.9420776367188,805.2654418945312,812.4524536132812,809.1415405273438,813.8871459960938
32,1573744254.4368215,-0.03469888120889664,0.047651078552007675,0.12873990833759308,-0.1160469651222229,-0.2108350396156311,0.22168268263339996,814.0602416992188,811.8930053710938,805.7340087890625,812.4334716796875,809.1671752929688,814.3623046875,813.7979125976562,812.1571655273438,805.4739379882812,812.6868896484375,809.3893432617188,814.1442260742188
33,1573744254.4462717,-0.035326261073350906,0.04827198013663292,0.1288902312517166,-0.1161990612745285,-0.21075177192687988,0.22161735594272614,813.972900390625,811.8245849609375,805.681640625,812.2872314453125,809.1066284179688,814.2277221679688,813.7107543945312,812.0885620117188,805.4216918945312,812.5406494140625,809.3291015625,814.00927734375
34,1573744254.4557745,-0.035593852400779724,0.04848964884877205,0.1291426569223404,-0.11648648977279663,-0.21060331165790558,0.2214362919330597,813.7267456054688,811.61865234375,805.4746704101562,812.0281982421875,808.8709106445312,813.9783935546875,813.4656372070312,811.8815307617188,805.215576171875,812.2808837890625,809.0926513671875,813.7606201171875
35,1573744254.466079,-0.03561718761920929,0.048509594053030014,0.1289939433336258,-0.11632440239191055,-0.21070602536201477,0.22153417766094208,813.705078125,811.6495971679688,805.47314453125,812.0366821289062,808.8501586914062,814.0204467773438,813.4440307617188,811.9124145507812,805.2137451171875,812.2896728515625,809.0718383789062,813.8027954101562
36,1573744254.4761603,-0.035507313907146454,0.04855742305517197,0.13041478395462036,-0.1175563633441925,-0.20976018905639648,0.22076547145843506,813.3712768554688,811.3514404296875,805.1757202148438,811.7134399414062,808.4677734375,813.6597290039062,813.1070556640625,811.6173706054688,804.9125366210938,811.9700317382812,808.6929931640625,813.4385986328125
